Age,Employment_Status,Employment_Duration,Industry_Sector,Education_Level,Marital_Status,Housing_Status,Years_at_Residence,Number_of_Dependents,City_Region,Annual_Income,Total_Debt,Debt_to_Income_Ratio,Loan_to_Income_Ratio,Credit_Score,Credit_History_Length,Number_of_Existing_Loans,Total_Credit_Limit,Credit_Utilization_Rate,Savings_Account_Balance,Checking_Account_Balance,Total_Assets,Net_Worth,Number_of_Late_Payments,Worst_Delinquency_Status,Months_since_Last_Delinquency,Number_of_Credit_Inquiries,Number_of_Open_Credit_Lines,Number_of_Derogatory_Records,Bankruptcy_Flag,Credit_Mix,Loan_Amount_Requested,Loan_Term_Months,Loan_Purpose,Payment_to_Income_Ratio,Collateral_Type,Collateral_Value,Transaction_Amount,Transaction_Frequency,Transaction_Location,Days_since_Last_Transaction,Avg_Probability_of_Default,Avg_Risk_Weighted_Assets,DPD_Trigger_Count,Bankruptcy_Trigger_Flag,Cash_Flow_Volatility,Seasonal_Spending_Pattern,Custom_Risk_Score,Credit_Risk_Score,Default_Flag
56,Employed,1,Tech,Graduate,Married,Rent,18,1,South,31998,28692.0,0.8966810425651603,0.4890618163635227,300,11,2,68448,0.4191795231416549,10139,24228,241178,212486.0,4,1,39,0,1,0,False,Mortgage,15649,12,Other,0.4890618163635227,Real Estate,56158,80,6,East,123,0.1367873640723395,40056,1,False,0,Medium,295,553.0,False
69,Employed,0,Other,Graduate,Single,Mortgage,6,0,North,136332,15153.0,0.1111477862864184,0.1333509374174808,491,12,1,89941,0.1684771127739295,25499,39,74962,59809.0,5,2,54,2,5,1,False,Revolving,18180,36,Other,0.0444503124724936,None,0,122,12,West,89,0.1279486747074383,22858,1,False,5775,High,241,850.0,False
46,Employed,3,Healthcare,Graduate,Married,Rent,0,0,North,34776,8118.0,0.2334368530020704,0.7741833448355188,346,15,2,113752,0.0713657781841198,9883,818,413453,405335.0,6,2,32,2,2,1,False,Installment,26923,12,Business,0.5,Real Estate,51500,84,11,East,195,0.1563078188785585,6157,0,False,9308,High,302,720.0,False
32,Employed,12,Other,University,Single,Own,1,0,West,84353,4027.0,0.0477398551325975,0.2108164499187936,425,3,1,158060,0.0254776667088447,20797,7363,198813,194786.0,1,3,0,1,6,0,False,Installment,17783,60,Business,0.0421632899837587,Real Estate,0,81,6,North,180,0.0323575107484295,15141,0,False,14162,Medium,97,850.0,False
60,Self-Employed,24,Finance,Graduate,Single,Own,1,1,South,40523,36142.982002852565,0.8919127903376494,0.1987019717197641,300,12,4,35666,1.0,23913,16342,165273,129130.01799714744,5,1,25,0,1,0,False,Installment,8052,36,Other,0.0662339905732547,Real Estate,0,28,8,West,302,0.4981182323796088,139816,2,False,7313,Low,414,463.0,False
25,Employed,1,Other,Others,Married,Rent,12,3,East,98539,4619.0,0.0468748414333411,0.18777336891992,422,5,1,91282,0.0506014329221533,913,21007,248493,243874.0,2,2,20,1,2,0,False,Installment,18503,36,Debt Consolidation,0.0625911229733066,Real Estate,0,257,9,North,215,0.0533497528407308,0,0,False,14073,Low,124,850.0,False
38,Unemployed,5,Healthcare,Others,Married,Rent,10,0,South,49137,9756.218926945783,0.1985513752761825,0.7130675458412195,300,6,1,95906,0.1017268880669174,4208,17479,413524,403767.78107305424,5,2,50,0,6,1,False,Mortgage,35038,36,Debt Consolidation,0.2376891819470731,Real Estate,0,37,17,East,90,0.0916770231066594,43437,0,False,6383,Low,253,739.0,False
56,Employed,4,Tech,Graduate,Single,Own,9,1,East,113308,714.5055903415247,0.0063058706388033,0.0088255021710735,351,12,0,500,1.0,17626,1548,140,-574.5055903415247,4,2,28,2,2,0,False,Revolving,1000,48,Home Improvement,0.0022063755427683,None,0,34,12,North,171,0.0352027149439323,53469,1,False,2586,Low,252,825.0,False
75,Employed,3,Finance,University,Single,Mortgage,4,1,West,87372,88741.0,1.0,0.1794396374124433,393,25,0,105785,0.8388807486883774,924,1792,106058,17317.0,5,2,10,0,6,0,False,Revolving,15678,36,Business,0.0598132124708144,Vehicle,108027,431,13,North,274,0.0732713753006512,100040,1,False,7691,High,379,556.0,True
36,Self-Employed,5,Other,High School,Married,Mortgage,0,0,South,148660,8232.0,0.0553746804789452,0.1323691645365263,413,3,3,48047,0.1713322371844235,6645,23377,432810,424578.0,2,1,23,0,4,0,False,Installment,19678,60,Other,0.0264738329073052,Real Estate,0,35,8,East,59,0.0711953041504826,21566,0,False,0,Medium,106,850.0,False
40,Self-Employed,2,Education,Others,Married,Rent,0,0,West,10000,30152.0,1.0,0.7644,300,5,3,60761,0.4962393640657658,41695,12345,103020,72868.0,3,1,45,0,4,0,False,Revolving,7644,36,Home Improvement,0.2547999999999999,Vehicle,0,10,9,West,277,0.0765363445666624,116374,1,False,6591,Low,359,483.0,False
28,Employed,14,Healthcare,High School,Single,Mortgage,0,1,North,69850,3309.0,0.0473729420186113,0.4919398711524695,356,4,2,16212,0.2041080680977054,29676,21570,167381,164072.0,2,2,35,2,2,0,False,Mortgage,34362,36,Debt Consolidation,0.1639799570508232,Vehicle,0,202,14,North,35,0.1824512979183135,91648,1,False,4560,High,152,850.0,False
28,Self-Employed,6,Tech,University,Married,Rent,11,0,West,82117,25244.0,0.3074150297745899,0.1607462522985496,310,10,2,23359,1.0,30764,13623,283306,258062.0,4,4,41,0,5,0,False,Revolving,13200,36,Debt Consolidation,0.0535820840995165,None,0,236,13,North,28,0.1864258291276331,104682,4,False,17652,Medium,294,632.0,False
41,Employed,7,Healthcare,Graduate,Married,Rent,0,3,East,17674,20769.138832665347,1.0,1.0,331,21,2,84464,0.2458933845504042,638,191,233905,213135.86116733463,2,1,49,1,2,0,False,Revolving,18499,12,Other,0.5,None,0,427,7,North,177,0.3229339597443575,225509,1,False,573,High,261,573.0,True
70,Employed,1,Other,University,Single,Mortgage,9,1,West,108437,9551.0,0.0880787922941431,0.1934210647657165,409,11,2,66921,0.1427205212115778,11981,26326,0,-9551.0,5,2,31,0,3,1,False,Installment,20974,48,Other,0.0483552661914291,Real Estate,12809,260,4,East,234,0.1230659246172081,115292,0,False,5692,Low,210,850.0,False
53,Unemployed,0,Tech,University,Married,Rent,11,0,West,11153,822.0,0.0737021429211871,1.0,312,9,3,125298,0.0065603601015179,37840,19994,195899,195077.0,2,0,9,0,3,1,False,Revolving,24292,36,Home Improvement,0.5,None,0,77,8,East,101,0.0583530152366138,111876,0,False,7686,Low,144,782.0,False
57,Employed,2,Education,University,Married,Rent,0,0,South,36267,10622.0,0.2928833374693247,0.3261642815782943,343,13,1,44635,0.2379746835443038,5696,10613,255297,244675.0,3,0,10,0,4,1,False,Revolving,11829,36,Business,0.1087214271927647,Real Estate,59327,138,6,East,22,0.1265176418275954,21565,0,False,6898,High,246,739.0,False
41,Employed,7,Finance,High School,Married,Rent,13,1,South,80893,16407.0,0.2028234828724364,0.073603402024897,398,9,3,97337,0.1685587186784059,52497,3032,225764,209357.0,1,0,22,3,3,0,False,Installment,5954,48,Other,0.0184008505062242,None,0,10,13,West,102,0.0382692955055958,85670,2,False,6839,Low,142,850.0,False
20,Self-Employed,13,Other,University,Single,Mortgage,13,2,West,10000,1135.0,0.1135,1.0,300,4,1,103196,0.0109984883135005,422,2223,266208,265073.0,4,2,2,3,2,0,False,Revolving,17371,36,Home Improvement,0.5,None,0,283,13,North,234,0.1757296324818026,0,1,False,0,Low,163,766.0,False
39,Unemployed,2,Tech,High School,Married,Own,6,3,North,43229,5.222905993293059,0.0001208194960164,0.111730551250318,300,6,2,500,0.0104458119865861,29303,2734,0,-5.222905993293059,5,3,6,0,1,0,False,Mortgage,4830,36,Debt Consolidation,0.0372435170834393,Real Estate,45494,202,8,West,37,0.1526734001262588,28311,2,False,0,Low,185,816.0,False
70,Employed,7,Finance,Graduate,Married,Own,4,2,South,98679,328.8265345356427,0.0033322848279334,0.1686377040707749,307,15,1,500,0.6576530690712854,488,2060,360110,359781.1734654644,5,2,15,1,1,1,False,Revolving,16641,24,Home Improvement,0.0843188520353874,Vehicle,107191,255,11,West,38,0.4809175813228132,11449,3,False,10358,Medium,316,773.0,False
19,Employed,3,Tech,University,Married,Rent,6,0,North,28096,8946.22058122091,0.3184161653338878,0.3217183940774487,300,6,2,9845,0.9087070168837896,8639,19972,244103,235156.7794187791,5,2,58,2,6,0,False,Revolving,9039,60,Home Improvement,0.0643436788154897,None,0,13,9,North,189,0.1476209169438612,140881,3,False,0,Medium,319,631.0,False
41,Employed,1,Other,University,Married,Own,3,0,East,91829,34039.0,0.3706781082228925,0.2185148482505526,488,22,1,100306,0.3393515841524934,101910,20027,309223,275184.0,1,0,8,0,4,0,False,Mortgage,20066,60,Debt Consolidation,0.0437029696501105,Vehicle,119012,40,8,South,172,0.0310086267110211,21871,2,False,1129,Medium,92,850.0,False
61,Unemployed,6,Tech,University,Married,Mortgage,5,1,South,85187,3253.0,0.0381865777642128,0.287907779356005,411,8,1,82769,0.0393021541881622,17522,696,0,-3253.0,3,2,6,1,2,0,False,Installment,24526,60,Home Improvement,0.057581555871201,None,0,534,11,West,245,0.1077117954887221,77365,2,False,4951,High,184,850.0,False
47,Unemployed,8,Education,High School,Married,Mortgage,20,0,West,17494,10409.0,0.5950040013718989,0.0571624556990968,300,8,0,42442,0.2452523443758541,38276,3232,200503,190094.0,3,1,52,1,3,0,False,Revolving,1000,48,Debt Consolidation,0.0142906139247742,None,0,57,16,East,313,0.0968952379710685,0,1,False,4017,Low,272,628.0,False
55,Employed,1,Tech,University,Married,Own,0,1,South,11446,4648.0,0.4060807268914905,1.0,318,11,1,66819,0.0695610529939089,9026,19205,30267,25619.0,3,1,17,2,1,0,False,Revolving,15394,36,Other,0.4483079969712855,None,0,125,10,East,76,0.0704982364201662,0,1,False,4698,High,214,694.0,False
19,Employed,1,Other,High School,Married,Own,1,0,North,56121,654.3720429884459,0.0116600210792474,0.1085868035138361,300,5,0,500,1.0,50705,11669,225702,225047.62795701157,6,2,20,2,2,1,False,Revolving,6094,24,Business,0.054293401756918,Vehicle,148183,111,9,West,329,0.0952329289039268,9976,3,False,5386,Low,324,693.0,False
38,Employed,3,Tech,Others,Married,Own,4,0,West,60369,26542.8181270138,0.4396762929154665,0.5013334658516788,300,10,2,42113,0.6302761172800275,10001,9636,192820,166277.1818729862,4,5,0,1,4,0,False,Revolving,30265,36,Other,0.1671111552838929,Real Estate,0,230,10,East,349,0.2072485727165378,37061,4,False,11726,Low,343,630.0,False
50,Self-Employed,1,Finance,High School,Single,Own,1,0,West,75823,10630.0,0.1401949276604724,0.0647165108212547,374,6,2,99019,0.1073531342469627,7296,14274,268822,258192.0,4,1,19,0,5,0,False,Mortgage,4907,36,Other,0.0215721702737515,Vehicle,58917,85,6,South,238,0.3148565458248529,122059,0,False,0,Low,168,850.0,False
29,Self-Employed,13,Finance,University,Others,Own,29,0,North,22262,37807.0,1.0,0.82988949779894,300,8,0,57686,0.6553929896335333,33828,15934,122269,84462.0,10,2,55,1,4,1,False,Revolving,18475,12,Debt Consolidation,0.5,Vehicle,0,61,6,East,220,0.0775758485662875,0,1,False,73,Low,462,411.0,True
75,Self-Employed,4,Healthcare,University,Single,Rent,7,1,South,74115,9133.0,0.1232274168521891,0.0371044997638804,439,17,1,25951,0.3519324881507456,24623,8058,16246,7113.0,2,2,18,2,5,0,False,Mortgage,2750,12,Business,0.0371044997638804,None,0,121,6,West,56,0.3774314919611668,108409,0,False,7952,Medium,142,850.0,False
39,Unemployed,0,Healthcare,Graduate,Single,Own,3,1,East,94615,1113.0,0.0117634624530994,0.0278497067061248,482,7,2,67721,0.0164350792221024,60354,24477,150380,149267.0,2,0,51,2,3,1,False,Installment,2635,12,Other,0.0278497067061248,None,0,356,10,South,159,0.169425605725089,25446,2,False,13004,Low,208,850.0,False
61,Employed,1,Education,University,Others,Own,13,0,West,52722,821.6318610123926,0.015584231649262,0.2709684761579606,300,18,2,3250,0.2528098033884285,9642,12325,80295,79473.3681389876,8,4,45,0,4,1,False,Mortgage,14286,24,Debt Consolidation,0.1354842380789803,None,0,518,7,North,50,0.1482600988850281,0,3,False,9286,High,337,721.0,False
42,Employed,15,Finance,Others,Married,Own,0,2,West,140981,919.0,0.0065186088905597,0.1430760173356693,481,5,1,29321,0.0313427236451689,93891,1005,250523,249604.0,3,0,43,3,6,0,False,Revolving,20171,60,Home Improvement,0.0286152034671338,None,0,224,10,West,327,0.2198398350989528,95570,1,False,8933,High,57,850.0,False
66,Employed,6,Healthcare,Graduate,Married,Own,2,0,North,33846,6537.0,0.1931395142705194,0.7797671807599126,331,16,3,59306,0.1102249350824537,4361,3644,186660,180123.0,6,2,45,1,5,0,False,Installment,26392,12,Other,0.5,Real Estate,135686,282,17,South,181,0.2932922331593088,92218,3,False,469,High,237,751.0,False
44,Employed,6,Tech,High School,Single,Own,18,1,West,65916,7695.72947574695,0.116750553367118,0.2401844772134231,300,7,0,11678,0.6589937896683464,17716,9813,54858,47162.27052425305,3,2,43,1,4,0,False,Mortgage,15832,36,Home Improvement,0.0800614924044743,Vehicle,11004,117,10,North,20,0.2375570434323126,0,3,False,13484,Medium,253,721.0,False
59,Employed,0,Education,High School,Married,Mortgage,4,0,West,53709,37.21678232027895,0.0006929338159392,0.1136681003183824,300,15,1,500,0.0744335646405578,9615,17290,125698,125660.78321767972,6,5,49,2,3,0,False,Mortgage,6105,60,Business,0.0227336200636764,None,0,556,9,East,75,0.00239809238647,63781,4,False,0,Low,258,807.0,False
45,Employed,11,Other,Others,Single,Own,15,0,East,28914,17260.0,0.5969426575361416,0.510652279172719,301,6,1,107300,0.1608574091332712,2774,24247,242633,225373.0,3,1,43,4,2,1,False,Revolving,14765,60,Business,0.1021304558345438,Vehicle,152161,132,11,South,294,0.2619302368314981,43229,0,False,6461,Low,323,639.0,False
33,Self-Employed,2,Healthcare,University,Single,Rent,24,2,West,138683,607.8084687272794,0.0043827179158749,0.0736355573502159,486,9,0,35966,0.0168995292422643,2319,46382,0,-607.8084687272794,3,0,51,3,1,0,False,Revolving,10212,12,Home Improvement,0.0736355573502159,None,0,29,6,North,165,0.4292691818868101,171539,1,False,0,Medium,60,850.0,False
32,Unemployed,5,Healthcare,University,Single,Mortgage,2,1,East,55652,26.18633620794589,0.0004705371991652,0.2555343922949759,300,8,0,500,0.0523726724158917,7818,1256,393981,393954.813663792,7,3,34,1,4,0,False,Installment,14221,48,Other,0.0638835980737439,Real Estate,104733,98,11,South,250,0.0632775229085998,120442,2,False,13425,High,220,745.0,False
64,Employed,16,Finance,Graduate,Single,Mortgage,5,2,West,39694,7525.0,0.1895752506676072,0.6393913437799164,329,9,3,29640,0.2538798920377867,7216,894,177098,169573.0,3,1,17,1,5,0,False,Installment,25380,48,Home Improvement,0.1598478359449791,None,0,162,12,West,223,0.1383106855457952,79091,1,False,19403,Low,212,709.0,False
68,Employed,0,Education,High School,Married,Own,11,2,East,22850,18265.0,0.799343544857768,0.909890590809628,351,12,2,82496,0.2214046741660201,7787,60,244641,226376.0,2,4,25,3,3,0,False,Revolving,20791,48,Other,0.227472647702407,Vehicle,0,27,12,West,52,0.1257767839052355,94181,0,True,0,Medium,230,645.0,False
61,Employed,3,Finance,Graduate,Married,Own,1,0,North,97597,709.6154564235724,0.0072708736582433,0.0102462165845261,337,14,2,500,1.0,37007,22450,31828,31118.384543576427,2,0,46,0,5,1,False,Revolving,1000,12,Business,0.0102462165845261,Vehicle,0,158,14,East,301,0.325100692152092,9688,6,False,3170,Low,315,825.0,False
72,Self-Employed,0,Finance,University,Married,Own,3,0,North,106209,39250.0,0.3695543692154149,0.180954533043339,401,14,1,56172,0.6987467065441857,11391,24929,123604,84354.0,4,6,23,0,1,0,False,Revolving,19219,12,Home Improvement,0.180954533043339,Real Estate,0,68,11,East,105,0.1963327914591728,124956,3,False,0,High,254,797.0,False
